ID	label	region	name	name_full	hemi	color	key_L1	name_L1	key_L2	name_L2	key_L3	name_L3
0	background											
4	cortex_rh_area_32	cortex	area_32	area_32 (area_32)	rh	#803951	1	Frontal_Lobe (Frontal)	2	anterior_cingulate_gyrus (ACgG)	3	anterior_cingulate_cortex (ACC)
5	cortex_rh_area_25	cortex	area_25	subgenual_cortex (area_25)	rh	#801D46	1	Frontal_Lobe (Frontal)	2	anterior_cingulate_gyrus (ACgG)	3	anterior_cingulate_cortex (ACC)
6	cortex_rh_area_24	cortex	area_24	area_24 (area_24)	rh	#BF0026	1	Frontal_Lobe (Frontal)	2	anterior_cingulate_gyrus (ACgG)	3	anterior_cingulate_cortex (ACC)
11	cortex_rh_MCC	cortex	MCC	midcingulate_cortex (MCC)	rh	#801D4E	1	Frontal_Lobe (Frontal)	2	anterior_cingulate_gyrus (ACgG)	11	midcingulate_cortex (MCC)
18	cortex_rh_area_10	cortex	area_10	frontal_pole (area_10)	rh	#D4007B	1	Frontal_Lobe (Frontal)	16	orbital_frontal_cortex (OFC)	17	medial_orbital_frontal_cortex (med_OFC)
22	cortex_rh_area_14	cortex	area_14	gyrus_rectus (area_14)	rh	#803973	1	Frontal_Lobe (Frontal)	16	orbital_frontal_cortex (OFC)	17	medial_orbital_frontal_cortex (med_OFC)
26	cortex_rh_areas_11/13	cortex	areas_11/13	areas_11_and_13 (areas_11/13)	rh	#BF008F	1	Frontal_Lobe (Frontal)	16	orbital_frontal_cortex (OFC)	25	lateral_orbital_frontal_cortex (lat_OFC)
34	cortex_rh_area_12m/o	cortex	area_12m/o	medial_and_orbital_area_12 (area_12m/o)	rh	#D573FF	1	Frontal_Lobe (Frontal)	16	orbital_frontal_cortex (OFC)	25	lateral_orbital_frontal_cortex (lat_OFC)
38	cortex_rh_OFa-p	cortex	OFa-p	agranular_orbitofrontal_cortex (OFa-p)	rh	#7B00A8	1	Frontal_Lobe (Frontal)	16	orbital_frontal_cortex (OFC)	37	caudal_orbital_frontal_cortex (caudal_OFC)
44	cortex_rh_OLF	cortex	OLF	primary_olfactory_cortex (OLF)	rh	#FF00E6	1	Frontal_Lobe (Frontal)	16	orbital_frontal_cortex (OFC)	37	caudal_orbital_frontal_cortex (caudal_OFC)
47	cortex_rh_cl_OFC	cortex	cl_OFC	caudolateral_orbitofrontal_cortex (cl_OFC)	rh	#A33BFF	1	Frontal_Lobe (Frontal)	16	orbital_frontal_cortex (OFC)	37	caudal_orbital_frontal_cortex (caudal_OFC)
51	cortex_rh_area_8A	cortex	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields) (area_8A)	rh	#F23BFF	1	Frontal_Lobe (Frontal)	50	lateral_prefrontal_cortex (lat_PFC)	51	periarcuate_area_8A_(Frontal_Eye_Fields) (area_8A)
55	cortex_rh_area_8B	cortex	area_8B	area_8B (area_8B)	rh	#623BFF	1	Frontal_Lobe (Frontal)	50	lateral_prefrontal_cortex (lat_PFC)	54	dorsolateral_prefrontal_cortex (dlPFC)
59	cortex_rh_rostral_dlPFC	cortex	rostral_dlPFC	rostral_dorsolateral_prefrontal_cortex (rostral_dlPFC)	rh	#9A8CFF	1	Frontal_Lobe (Frontal)	50	lateral_prefrontal_cortex (lat_PFC)	54	dorsolateral_prefrontal_cortex (dlPFC)
65	cortex_rh_rostral_vlPFC	cortex	rostral_vlPFC	rostral_ventrolateral_prefrontal_cortex (rostral_vlPFC)	rh	#1D2180	1	Frontal_Lobe (Frontal)	50	lateral_prefrontal_cortex (lat_PFC)	64	ventrolateral_prefrontal_cortex (vlPFC)
72	cortex_rh_caudal_vlPFC	cortex	caudal_vlPFC	caudal_ventrolateral_prefrontal_cortex (caudal_vlPFC)	rh	#A6A7FF	1	Frontal_Lobe (Frontal)	50	lateral_prefrontal_cortex (lat_PFC)	64	ventrolateral_prefrontal_cortex (vlPFC)
