ID	label	region	name	name_full	hemi
-1501	WM_lh_cbWM	WM	cbWM	cerebellum_white_matter	lh
-1002	CSF_lh_CSF	CSF	CSF	CSF	lh
-1001	WM_lh_ctxWM	WM	ctxWM	cerebral_white_matter	lh
-501	WM_rh_cbWM	WM	cbWM	cerebellum_white_matter	rh
-2	CSF_rh_CSF	CSF	CSF	CSF	rh
-1	WM_rh_ctxWM	WM	ctxWM	cerebral_white_matter	rh
0	background				
4	cortex_rh_area_32	cortex	area_32	area_32	rh
5	cortex_rh_area_25	cortex	area_25	subgenual_cortex	rh
7	cortex_rh_area_24a/b	cortex	area_24a/b	areas_24a_and_24b	rh
10	cortex_rh_area_24c	cortex	area_24c	area_24c	rh
12	cortex_rh_area_24a/b_prime	cortex	area_24a/b_prime	areas_24a'_and_24b'	rh
15	cortex_rh_area_24c_prime	cortex	area_24c_prime	area_24c'	rh
18	cortex_rh_area_10	cortex	area_10	frontal_pole	rh
22	cortex_rh_area_14	cortex	area_14	gyrus_rectus	rh
27	cortex_rh_area_11	cortex	area_11	area_11	rh
30	cortex_rh_area_13	cortex	area_13	area_13	rh
34	cortex_rh_area_12m/o	cortex	area_12m/o	medial_and_orbital_area_12	rh
39	cortex_rh_Iam/Iapm	cortex	Iam/Iapm	medial_agranular_insular_region	rh
40	cortex_rh_lat_Ia	cortex	lat_Ia	lateral_agranular_insular_region	rh
44	cortex_rh_OLF	cortex	OLF	primary_olfactory_cortex	rh
48	cortex_rh_G	cortex	G	gustatory_cortex	rh
49	cortex_rh_PrCO	cortex	PrCO	precentral_operular_area	rh
51	cortex_rh_area_8A	cortex	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields)	rh
55	cortex_rh_area_8B	cortex	area_8B	area_8B	rh
60	cortex_rh_area_9	cortex	area_9	area_9	rh
63	cortex_rh_area_46d	cortex	area_46d	dorsal_area_46	rh
66	cortex_rh_area_46v/f	cortex	area_46v/f	ventral_and_fundus_portion_of_area_46	rh
69	cortex_rh_area_12r/l	cortex	area_12r/l	rostral_and_lateral_area_12	rh
73	cortex_rh_area_45	cortex	area_45	area_45	rh
76	cortex_rh_area_44	cortex	area_44	area_44	rh
79	cortex_rh_M1	cortex	M1	primary_motor_cortex	rh
81	cortex_rh_PMd	cortex	PMd	dorsal_premotor_cortex	rh
84	cortex_rh_PMv	cortex	PMv	ventral_premotor_cortex	rh
88	cortex_rh_preSMA	cortex	preSMA	presupplementary_motor_area	rh
