ID	label	region	name	name_full	hemi
0	background				
3	cortex_rh_ACC	cortex	ACC	anterior_cingulate_cortex	rh
11	cortex_rh_MCC	cortex	MCC	midcingulate_cortex	rh
17	cortex_rh_med_OFC	cortex	med_OFC	medial_orbital_frontal_cortex	rh
25	cortex_rh_lat_OFC	cortex	lat_OFC	lateral_orbital_frontal_cortex	rh
37	cortex_rh_caudal_OFC	cortex	caudal_OFC	caudal_orbital_frontal_cortex	rh
51	cortex_rh_area_8A	cortex	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields)	rh
54	cortex_rh_dlPFC	cortex	dlPFC	dorsolateral_prefrontal_cortex	rh
64	cortex_rh_vlPFC	cortex	vlPFC	ventrolateral_prefrontal_cortex	rh
78	cortex_rh_M1/PM	cortex	M1/PM	lateral_motor_cortex	rh
87	cortex_rh_SMA/preSMA	cortex	SMA/preSMA	medial_supplementary_motor_areas	rh
92	cortex_rh_SI	cortex	SI	primary_somatosensory_cortex	rh
95	cortex_rh_SII	cortex	SII	secondary_somatosensory_cortex	rh
97	cortex_rh_V6/V6A	cortex	V6/V6A	visual_areas_V6_and_V6A	rh
102	cortex_rh_area_5	cortex	area_5	area_5	rh
107	cortex_rh_vm_IPS	cortex	vm_IPS	ventromedial_intraparietal_sulcus	rh
113	cortex_rh_lat_IPS	cortex	lat_IPS	lateral_intraparietal_sulcus	rh
119	cortex_rh_MST	cortex	MST	medial_superior_temporal_area	rh
120	cortex_rh_area_7_in_IPL	cortex	area_7_in_IPL	area_7_in_the_inferior_parietal_lobule	rh
126	cortex_rh_area_7m	cortex	area_7m	area_7_(PGm)_on_the_medial_wall	rh
127	cortex_rh_PCgG	cortex	PCgG	posterior_cingulate_gyrus	rh
140	cortex_rh_HC	cortex	HC	hippocampus	rh
148	cortex_rh_paraHipp	cortex	paraHipp	parahippocampal_cortex	rh
153	cortex_rh_Rh	cortex	Rh	rhinal_cortex	rh
165	cortex_rh_TG	cortex	TG	temporal_pole	rh
176	cortex_rh_TEO	cortex	TEO	area_TEO	rh
177	cortex_rh_TE	cortex	TE	area_TE	rh
188	cortex_rh_STSf	cortex	STSf	fundus_of_the_superior_temporal_sulcus	rh
194	cortex_rh_STGr/STSd	cortex	STGr/STSd	rostral_superior_temporal_region	rh
199	cortex_rh_STGc	cortex	STGc	caudal_superior_temporal_gyrus	rh
205	cortex_rh_belt	cortex	belt	belt_areas_of_auditory_cortex	rh
218	cortex_rh_RTp	cortex	RTp	polar_rostrotemporal_cortex	rh
219	cortex_rh_core	cortex	core	core_areas_of_auditory_cortex	rh
224	cortex_rh_floor_of_ls	cortex	floor_of_ls	floor_of_the_lateral_sulcus	rh
232	cortex_rh_MT	cortex	MT	middle_temporal_area	rh
234	cortex_rh_V4	cortex	V4	visual_area_4	rh
237	cortex_rh_V2-V3	cortex	V2-V3	preoccipital_visual_areas_2-3	rh
246	cortex_rh_V1	cortex	V1	primary_visual_cortex	rh
1003	cortex_lh_ACC	cortex	ACC	anterior_cingulate_cortex	lh
1011	cortex_lh_MCC	cortex	MCC	midcingulate_cortex	lh
1017	cortex_lh_med_OFC	cortex	med_OFC	medial_orbital_frontal_cortex	lh
1025	cortex_lh_lat_OFC	cortex	lat_OFC	lateral_orbital_frontal_cortex	lh
