ID	hemi	name	name_full	level 0 / Lobe	level 1 / ROI	level 1 / ROI (abbr)	Modified Cytoarchitectonic
1	lh	FP.d	frontal pole, dorsal part	Frontal Lobe	Frontal Pole	FP	10D/46D
2	lh	FP.m	frontal pole,  medial part	Frontal Lobe	Frontal Pole	FP	10M/10V
3	lh	FP.v	frontal pole,  ventral part	Frontal Lobe	Frontal Pole	FP	10V/46V
4	lh	SFG.rm	superior frontal gyrus, rostromedial part	Frontal Lobe	Superior Frontal Gyrus	SFG	9M
5	lh	SFG.cm	superior frontal gyrus, caudomedial part 	Frontal Lobe	Superior Frontal Gyrus	SFG	8Bm
6	lh	SFG.r	superior frontal gyrus, rostral part	Frontal Lobe	Superior Frontal Gyrus	SFG	46D
7	lh	SFG.ri	superior frontal gyrus, rostrointermediate part	Frontal Lobe	Superior Frontal Gyrus	SFG	9/46D, 9L
8	lh	SFG.ci	superior frontal gyrus, caudointermediate part	Frontal Lobe	Superior Frontal Gyrus	SFG	8A/8B
9	lh	SFG.c	superior frontal gyrus, caudal part	Frontal Lobe	Superior Frontal Gyrus	SFG	8AD
10	lh	IFG.rd	inferior frontal gyrus, rostrodorsal part 	Frontal Lobe	Inferior Frontal Gyrus	IFG	46V/12L
11	lh	IFG.cd	inferior frontal gyrus, caudodorsal part 	Frontal Lobe	Inferior Frontal Gyrus	IFG	46v/45B
12	lh	IFG.cv	inferior frontal gyrus, caudoventral part	Frontal Lobe	Inferior Frontal Gyrus	IFG	8A/45B
13	lh	IFG.iv	inferior frontal gyrus, intermedioventral part	Frontal Lobe	Inferior Frontal Gyrus	IFG	44
14	lh	IFG.rv	inferior frontal gyrus, rostroventral part	Frontal Lobe	Inferior Frontal Gyrus	IFG	12L/45B
15	lh	OrG.rm	orbital gyrus, rostromedial part	Frontal Lobe	Orbital Gyrus	OrG	14
16	lh	OrG.cm	orbital gyrus, caudomedial part	Frontal Lobe	Orbital Gyrus	OrG	OPAI
17	lh	OrG.ri	orbital gyrus, rostrointermediate part	Frontal Lobe	Orbital Gyrus	OrG	11
18	lh	OrG.ci	orbital gyrus, caudointermediate part	Frontal Lobe	Orbital Gyrus	OrG	13
19	lh	OrG.rl	orbital gyrus, rostrolateral part	Frontal Lobe	Orbital Gyrus	OrG	12O, rostral part
20	lh	OrG.cl	orbital gyrus, caudolateral part	Frontal Lobe	Orbital Gyrus	OrG	12O, caudal part
21	lh	M1.v	primary motor cortex, ventral part	Sensorimotor Cortex	Primary Motor Cortex	M1	4(face)
22	lh	M1.i	primary motor cortex, intermediate part 	Sensorimotor Cortex	Primary Motor Cortex	M1	4(arm)
23	lh	M1.d	primary motor cortex, dorsal part	Sensorimotor Cortex	Primary Motor Cortex	M1	4(foot)
24	lh	M1.m	primary motor cortex, medial  part 	Sensorimotor Cortex	Primary Motor Cortex	M1	4, medial part
25	lh	PM.rd	premotor cortex, rostrodorsal part	Sensorimotor Cortex	Premotor Cortex	PM	6DR
26	lh	PM.cd	premotor cortex, caudodorsal part	Sensorimotor Cortex	Premotor Cortex	PM	6DC
27	lh	PM.i	premotor cortex, intermediate part	Sensorimotor Cortex	Premotor Cortex	PM	6DC, ventral part
28	lh	PM.cv	premotor cortex, caudoventral part	Sensorimotor Cortex	Premotor Cortex	PM	6VC
29	lh	PM.rv	premotor cortex, rostroventral part	Sensorimotor Cortex	Premotor Cortex	PM	6VR
30	lh	PM.rm	premotor cortex, rostromedial part	Sensorimotor Cortex	Premotor Cortex	PM	6M, rostral part
31	lh	PM.cm	premotor cortex, caudomedial part	Sensorimotor Cortex	Premotor Cortex	PM	6M, caudal part
32	lh	PoCG.dm	postcentral gyrus, dorsomedial part 	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (foot)
33	lh	PoCG.d	postcentral gyrus, dorsal part	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (trunk)
34	lh	PoCG.i	postcentral gyrus, intermediate part	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (hand)
35	lh	PoCG.v	postcentral gyrus, ventral part 	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (face)
36	lh	FPO.r	frontal parietal operculum, rostral part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	ProM/Gu
37	lh	FPO.ri	frontal parietal operculum, rostrointermediate part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	S2/PFop
38	lh	FPO.ci	frontal parietal operculum, caudointermediate part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	S2/S2I
39	lh	FPO.c	frontal parietal operculum, caudal part	Sensorimotor Cortex	Frontal and Parietal Operculum	FPO	PGop
40	lh	SPL.rv	superior parital lobule, rostroventral part	Parietal Lobe	Superior Parietal Lobe	SPL	PEa, rostral part
41	lh	SPL.iv	superior parital lobule, intermedioventral part	Parietal Lobe	Superior Parietal Lobe	SPL	PEa, caudal part
42	lh	SPL.cv	superior parital lobule, caudoventral part	Parietal Lobe	Superior Parietal Lobe	SPL	PO
43	lh	SPL.rd	superior parital lobule, rostrodorsal part 	Parietal Lobe	Superior Parietal Lobe	SPL	PE
44	lh	SPL.cd	superior parital lobule, caudodorsal part 	Parietal Lobe	Superior Parietal Lobe	SPL	PE/PEC
45	lh	SPL.m	superior parital lobule, medial part	Parietal Lobe	Superior Parietal Lobe	SPL	PECg, dorsal part
46	lh	IPL.sr	inferior parietal lobe, sulcal rostral part	Parietal Lobe	Inferior Parietal Lobe	IPL	AIP, rostral part
47	lh	IPL.sri	inferior parietal lobe, sulcal rostrointermediate part 	Parietal Lobe	Inferior Parietal Lobe	IPL	AIP, caudal part
